Unnamed: 0|Unnamed: 0.1|Date_x|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|prctChangeOPEN|TargetProbability|Date_y|No Articles|Date_x|No_Articles_x|Date_y|No_Articles_y
534|534|2014-02-19|89.46|89.5|88.17|88.2|1898917|USD|534|0.9940000000000001|0.5337084677366006|2018-08-13|3|2018-08-13|3|2018-08-13|3
535|535|2014-02-20|88.93|89.06|88.1|88.88|1397444|USD|535|1.008|0.5404087301926169|2018-08-14|2|2018-08-14|2|2018-08-14|2
536|536|2014-02-21|89.63|89.69|88.55|88.91|604958|USD|536|0.997|0.5297154458685688|2018-08-15|2|2018-08-15|2|2018-08-15|2
537|537|2014-02-24|89.39|90.22|89.33|89.34|490784|USD|537|0.988|0.5203747409459938|2018-08-16|3|2018-08-16|3|2018-08-16|3
538|538|2014-02-25|88.33|88.44|86.57|86.63|1349631|USD|538|0.981|0.5195280604365669|2018-08-17|5|2018-08-17|5|2018-08-17|5
539|539|2014-02-26|86.69|87.09|85.46|85.92|1408117|USD|539|0.995|0.5470385216630465|2018-08-20|1|2018-08-20|1|2018-08-20|1
540|540|2014-02-27|86.26|86.38|85.02|86.02|1547102|USD|540|1.0090000000000001|0.5636888095169731|2018-08-21|1|2018-08-21|1|2018-08-21|1
541|541|2014-02-28|87.04|87.27|85.65|86.14|1534496|USD|541|0.977|0.5119715244587146|2018-08-22|1|2018-08-22|1|2018-08-22|1
542|542|2014-03-03|85.01|86.17|84.82|86.0|4305538|USD|542|1.043|0.5193499520990367|2018-08-23|2|2018-08-23|2|2018-08-23|2
543|543|2014-03-04|88.67|89.43|88.29|89.38|3451066|USD|543|1.0070000000000001|0.4826485967939798|2018-08-28|1|2018-08-28|1|2018-08-28|1
544|544|2014-03-05|89.28|89.88|89.19|89.87|926374|USD|544|1.012|0.4381039773334048|2018-08-29|6|2018-08-29|6|2018-08-29|6
545|545|2014-03-06|90.33|91.79|90.31|91.53|1347802|USD|545|1.011|0.4431607719835162|2018-08-30|1|2018-08-30|1|2018-08-30|1
546|546|2014-03-07|91.29|91.35|90.66|91.13|1267421|USD|546|0.9940000000000001|0.4357222873605224|2018-09-05|3|2018-09-05|3|2018-09-05|3
547|547|2014-03-10|90.72|90.98|90.05|90.68|1500378|USD|547|0.9940000000000001|0.4395549905862469|2018-09-06|3|2018-09-06|3|2018-09-06|3
548|548|2014-03-11|90.22|91.18|89.82|90.3|1096723|USD|548|0.9990000000000001|0.44081399428839935|2018-09-10|2|2018-09-10|2|2018-09-10|2
549|549|2014-03-12|90.12|90.96|89.88|90.94|1046851|USD|549|1.014|0.4593823605188467|2018-09-12|6|2018-09-12|6|2018-09-12|6
550|550|2014-03-13|91.41|91.58|89.45|89.83|1543032|USD|550|0.975|0.4476726675827715|2018-09-13|5|2018-09-13|5|2018-09-13|5
551|551|2014-03-14|89.1|90.24|89.1|89.48|2437526|USD|551|1.015|0.4545268643182657|2018-09-14|2|2018-09-14|2|2018-09-14|2
552|552|2014-03-17|90.43|90.92|90.4|90.63|1192013|USD|552|1.002|0.44697529034052097|2018-09-25|1|2018-09-25|1|2018-09-25|1
553|553|2014-03-18|90.6|91.74|90.54|91.72|519559|USD|553|1.013|0.4430716416188358|2018-09-26|5|2018-09-26|5|2018-09-26|5
